time,energy
1.706160295644010603e+02,8.685391288952619693e-01
1.706577042174455983e+02,8.690784177275907574e-01
1.706993788704901647e+02,8.696072555664442483e-01
1.707410535235347311e+02,8.701256094205986891e-01
1.707827281765792691e+02,8.706334503551739212e-01
1.708244028296238355e+02,8.711307519161257673e-01
1.708660774826683735e+02,8.716174910418910127e-01
1.709077521357129399e+02,8.720936469481272990e-01
1.709494267887574779e+02,8.725592014164573751e-01
1.709911014418020443e+02,8.730141385119354336e-01
1.710327760948465823e+02,8.734584440277670669e-01
1.710744507478911487e+02,8.738921060902510307e-01
1.711161254009356867e+02,8.743151138876440465e-01
1.711578000539802531e+02,8.747274588699430753e-01
1.711994747070247911e+02,8.751291331970074694e-01
1.712411493600693575e+02,8.755201310039877338e-01
1.712828240131139239e+02,8.759004471420612781e-01
1.713244986661584619e+02,8.762700779535128603e-01
1.713661733192030283e+02,8.766290207871612061e-01
1.714078479722475663e+02,8.769772739260029981e-01
1.714495226252921327e+02,8.773148370697816389e-01
1.714911972783366707e+02,8.776417104071219111e-01
1.715328719313812371e+02,8.779578958824664214e-01
1.715745465844257751e+02,8.782633957651582168e-01
1.716162212374703415e+02,8.785582142075383238e-01
1.716578958905148795e+02,8.788423558888084353e-01
1.716995705435594459e+02,8.791158272531275353e-01
1.717412451966039839e+02,8.793786358011467241e-01
1.717829198496485503e+02,8.796307905238563984e-01
1.718245945026931167e+02,8.798723021757872687e-01
1.718662691557376547e+02,8.801031827461105461e-01
1.719079438087822211e+02,8.803234466661656876e-01
1.719496184618267591e+02,8.805331095558919241e-01
1.719912931148713255e+02,8.807321899462310366e-01
1.720329677679158635e+02,8.809207078465746132e-01
1.720746424209604299e+02,8.810986863511207634e-01
1.721163170740049679e+02,8.812661506644505760e-01
1.721579917270495343e+02,8.814231289996214969e-01
1.721996663800940723e+02,8.815696525321097266e-01
1.722413410331386387e+02,8.817057552761173866e-01
1.722830156861831767e+02,8.818314750739648655e-01
1.723246903392277432e+02,8.819468525477636156e-01
1.723663649922722811e+02,8.820519328151837923e-01
1.724080396453168476e+02,8.821467639922651038e-01
1.724497142983614140e+02,8.822313990253010108e-01
1.724913889514059520e+02,8.823058944125831138e-01
1.725330636044505184e+02,8.823703114808384429e-01
1.725747382574950564e+02,8.824247159171338950e-01
1.726164129105396228e+02,8.824691780269706687e-01
1.726580875635841608e+02,8.825037733478865443e-01
1.726997622166287272e+02,8.825285818259460680e-01
1.727414368696732652e+02,8.825436893446271247e-01
1.727831115227178316e+02,8.825491861888092870e-01
1.728247861757623696e+02,8.825451689418473133e-01
1.728664608288069360e+02,8.825317388964207810e-01
1.729081354818514740e+02,8.825090036052219977e-01
1.729498101348960404e+02,8.824770759255131658e-01
1.729914847879406068e+02,8.824360746270768496e-01
1.730331594409851448e+02,8.823861245056991987e-01
1.730748340940297112e+02,8.823273558138463590e-01
1.731165087470742492e+02,8.822599054442674671e-01
1.731581834001188156e+02,8.821839154123995996e-01
1.731998580531633536e+02,8.820995346676028248e-01
1.732415327062079200e+02,8.820069172355328169e-01
1.732832073592524580e+02,8.819062239412747140e-01
1.733248820122970244e+02,8.817976209594198256e-01
1.733665566653415624e+02,8.816812807449544431e-01
1.734082313183861288e+02,8.815573815774113697e-01
1.734499059714306668e+02,8.814261072927466190e-01
1.734915806244752332e+02,8.812876480055775730e-01
1.735332552775197996e+02,8.811421987033736247e-01
1.735749299305643376e+02,8.809899608462782306e-01
1.736166045836089040e+02,8.808311403371779091e-01
1.736582792366534420e+02,8.806659493271321582e-01
1.736999538896980084e+02,8.804946043275988510e-01
1.737416285427425464e+02,8.803173274440313500e-01
1.737833031957871128e+02,8.801343453436012432e-01
1.738249778488316508e+02,8.799458893478990795e-01
1.738666525018762172e+02,8.797521956268571364e-01
1.739083271549207552e+02,8.795535040250360703e-01
1.739500018079653216e+02,8.793500593539127497e-01
1.739916764610098596e+02,8.791421093293937394e-01
1.740333511140544260e+02,8.789299063796699452e-01
1.740750257670989924e+02,8.787137054314478890e-01
1.741167004201435304e+02,8.784937654245549288e-01
1.741583750731880968e+02,8.782703477524668179e-01
1.742000497262326348e+02,8.780437167735780646e-01
1.742417243792772013e+02,8.778141394551984833e-01
1.742833990323217392e+02,8.775818845606045970e-01
1.743250736853663057e+02,8.773472235630894733e-01
1.743667483384108436e+02,8.771104287148763223e-01
1.744084229914554101e+02,8.768717747807929230e-01
1.744500976444999480e+02,8.766315366486014948e-01
1.744917722975445145e+02,8.763899910894591416e-01
1.745334469505890524e+02,8.761474147640880838e-01
1.745751216036336189e+02,8.759040851911864545e-01
1.746167962566781853e+02,8.756602798567151291e-01
1.746584709097227233e+02,8.754162758777250808e-01
1.747001455627672897e+02,8.751723504867187087e-01
1.747418202158118277e+02,8.749287793983863137e-01
1.747834948688563941e+02,8.746858383890976363e-01
1.748251695219009321e+02,8.744438009005432999e-01
1.748668441749454985e+02,8.742029399876429796e-01
1.749085188279900365e+02,8.739635260127498473e-01
1.749501934810346029e+02,8.737258280763827711e-01
1.749918681340791409e+02,8.734901126354852607e-01
1.750335427871237073e+02,8.732566437294378980e-01
1.750752174401682453e+02,8.730256829984500699e-01
1.751168920932128117e+02,8.727974884977814929e-01
1.751585667462573497e+02,8.725723160369948106e-01
1.752002413993019161e+02,8.723504169480136294e-01
1.752419160523464825e+02,8.721320401344611062e-01
1.752835907053910205e+02,8.719174295934779551e-01
1.753252653584355869e+02,8.717068262723703942e-01
1.753669400114801249e+02,8.715004662617991116e-01
1.754086146645246913e+02,8.712985816264651184e-01
1.754502893175692293e+02,8.711013999356354010e-01
1.754919639706137957e+02,8.709091436430572708e-01
1.755336386236583337e+02,8.707220310959029597e-01
