time,centroid,bandwidth,chroma_hue
4.334163916633539060e+00,3.264788310877483890e-01,5.666330309299173473e-01,3.601533781214341645e-01
4.375838569678093037e+00,3.288226027978363164e-01,5.687122922789515922e-01,3.436113575865124004e-01
4.417513222722646127e+00,3.308980044521662722e-01,5.706291271116794572e-01,1.707018211011134545e-01
4.459187875767199216e+00,3.326824499430741655e-01,5.723641866624302743e-01,8.333333333333333703e-01
4.500862528811752306e+00,3.341241191793037357e-01,5.738783782553724677e-01,8.333333333333333703e-01
4.542537181856305395e+00,3.352379332268451972e-01,5.751757187349909595e-01,8.333333333333333703e-01
4.584211834900858484e+00,3.360219273086816894e-01,5.762508478152197355e-01,8.333333333333333703e-01
4.625886487945412462e+00,3.364745872729850151e-01,5.770996631765877849e-01,8.333333333333333703e-01
4.667561140989965551e+00,3.365984256748008052e-01,5.777202396440253018e-01,8.333333333333333703e-01
4.709235794034518641e+00,3.363988978340406444e-01,5.781124860942822297e-01,8.333333333333333703e-01
4.750910447079071730e+00,3.358851413288946319e-01,5.782788385755858185e-01,8.579245362741363401e-01
4.792585100123624819e+00,3.350703412337284748e-01,5.782246705377411811e-01,8.364917395529714028e-01
4.834259753168178797e+00,3.339703999233824550e-01,5.779579056884601718e-01,4.850424641906446177e-01
4.875934406212731886e+00,3.326012167684100351e-01,5.774865296333616671e-01,3.354882325601064030e-01
4.917609059257284976e+00,3.309720682023120086e-01,5.768106044642342667e-01,7.018316643427531254e-01
4.959283712301838065e+00,3.291385261702070020e-01,5.759680543765240968e-01,3.591393078970804842e-01
5.000958365346391155e+00,3.271307332316698013e-01,5.749771128117301400e-01,4.763489246630270846e-01
5.042633018390945132e+00,3.249794730774208662e-01,5.738570807646622418e-01,5.353023196856386834e-01
5.084307671435498222e+00,3.227182586687977750e-01,5.726289451706817468e-01,5.394747961296311178e-01
5.125982324480051311e+00,3.203810616539718992e-01,5.713144545263252327e-01,5.214961761101967186e-01
5.167656977524604400e+00,3.180018332376409185e-01,5.699358512892037654e-01,4.166666666666666852e-01
5.209331630569157490e+00,3.156153186572394631e-01,5.685159428328867559e-01,4.028605230912255530e-01
5.251006283613711467e+00,3.132557625469505891e-01,5.670773755908566915e-01,3.333333333333333148e-01
5.292680936658264557e+00,3.109638150751701247e-01,5.656463895104032469e-01,3.333333333333333148e-01
5.334355589702817646e+00,3.087818762760644042e-01,5.642505999506165493e-01,3.333333333333333148e-01
5.376030242747370735e+00,3.067346961206987577e-01,5.629103234134795741e-01,3.333333333333333148e-01
5.417704895791923825e+00,3.048522395632153326e-01,5.616463369656630178e-01,3.333333333333333148e-01
5.459379548836477802e+00,3.031622255364626040e-01,5.604786785442330554e-01,3.333333333333333148e-01
5.501054201881030892e+00,3.016904673744515430e-01,5.594266364767737088e-01,5.195631047449994488e-01
5.542728854925583981e+00,3.004606417016513209e-01,5.585085241526076549e-01,5.778615794143774353e-01
5.584403507970137071e+00,2.994935490683217627e-01,5.577407249630175201e-01,2.701335192462072099e-01
5.626078161014690160e+00,2.988065931739612990e-01,5.571369491077369229e-01,3.333333333333333148e-01
5.667752814059244137e+00,2.984142697527203403e-01,5.567095041224847662e-01,3.333333333333333148e-01
5.709427467103797227e+00,2.983549380509546989e-01,5.564859492929351559e-01,3.333333333333333148e-01
5.751102120148350316e+00,2.986263775516084240e-01,5.564695740807009683e-01,6.103012633624858019e-01
5.792776773192903406e+00,2.992183305070206800e-01,5.566578282150510537e-01,7.273524316558908076e-01
5.834451426237456495e+00,3.001310832561194797e-01,5.570542031047702736e-01,5.936113575865171743e-01
5.876126079282010473e+00,3.013615822297752711e-01,5.576608990638518559e-01,5.435733299530989271e-01
5.917800732326563562e+00,3.029026213598312034e-01,5.584765992380584798e-01,5.132991084632627654e-01
5.959475385371116651e+00,3.047435719598041715e-01,5.594970175035627324e-01,3.902057717496941747e-01
6.001150038415669741e+00,3.068707546576636136e-01,5.607160245615337990e-01,3.512380107322427003e-01
6.042824691460222830e+00,3.092670631342070431e-01,5.621256375025049934e-01,4.073182067858213684e-01
6.084499344504776808e+00,3.119143023479846177e-01,5.637171525481161627e-01,3.333333333333333148e-01
6.126173997549329897e+00,3.148126971234073701e-01,5.654968215294046141e-01,3.333333333333333148e-01
6.167848650593882986e+00,3.179077103508284874e-01,5.674282236782257627e-01,3.333333333333333148e-01
6.209523303638436076e+00,3.211663412987025290e-01,5.694914119304563815e-01,3.333333333333333148e-01
6.251197956682989165e+00,3.245561584831666568e-01,5.716670458264001553e-01,3.333333333333333148e-01
6.292872609727542255e+00,3.280438008566197716e-01,5.739345628330233540e-01,3.333333333333333148e-01
6.334547262772096232e+00,3.315940690548543901e-01,5.762712690779576707e-01,3.333333333333333148e-01
6.376221915816649322e+00,3.351714327347822264e-01,5.786540529456813964e-01,3.091012802636587398e-01
6.417896568861202411e+00,3.387407843227988047e-01,5.810603200393988921e-01,2.813516711032230111e-01
6.459571221905755500e+00,3.422649904853532488e-01,5.834655616087249808e-01,4.095470486331193039e-01
6.501245874950308590e+00,3.457050651510522599e-01,5.858442888990654795e-01,3.347699328178487255e-01
6.542920527994862567e+00,3.490078210489371280e-01,5.881615809107672010e-01,3.333333333333333148e-01
