time,centroid,bandwidth,chroma_hue
5.167507891436217804e+00,4.974480581650549960e-01,6.017908330454722066e-01,7.500000000000000000e-01
5.209181342173606843e+00,4.997197041276035812e-01,6.033751553434869574e-01,7.500000000000000000e-01
5.250854792910994995e+00,5.022458444559646518e-01,6.050294683526639128e-01,7.500000000000000000e-01
5.292528243648384034e+00,5.050054646198830488e-01,6.067419077950310102e-01,7.500000000000000000e-01
5.334201694385773074e+00,5.079531993199147832e-01,6.084940179391484794e-01,7.500000000000000000e-01
5.375875145123162113e+00,5.110315679638727238e-01,6.102664303360578746e-01,7.500000000000000000e-01
5.417548595860551153e+00,5.142022967852116766e-01,6.120480351103486649e-01,7.500000000000000000e-01
5.459222046597939304e+00,5.174317485709482023e-01,6.138257007745241411e-01,7.500000000000000000e-01
5.500895497335328344e+00,5.206793765144506203e-01,6.155868210427473119e-01,7.500000000000000000e-01
5.542568948072717383e+00,5.239050086895984393e-01,6.173193901044857768e-01,7.500000000000000000e-01
5.584242398810106423e+00,5.270763962772300193e-01,6.190123961969874467e-01,7.500000000000000000e-01
5.625915849547495462e+00,5.301655841005822323e-01,6.206566650044863520e-01,7.500000000000000000e-01
5.667589300284883613e+00,5.331398338434545359e-01,6.222428613568622424e-01,7.527796816693321791e-01
5.709262751022272653e+00,5.359540248710595867e-01,6.237616571990255432e-01,8.275550224659211640e-01
5.750936201759661692e+00,5.385761953305028271e-01,6.252049988686868565e-01,8.333333333333333703e-01
5.792609652497050732e+00,5.409911550458608165e-01,6.265715573860227705e-01,7.728942959409024205e-01
5.834283103234438883e+00,5.431821105938152705e-01,6.278583723759288970e-01,7.500000000000000000e-01
5.875956553971827923e+00,5.451377092000627700e-01,6.290643832500589783e-01,7.933230523189398475e-01
5.917630004709216962e+00,5.468483690675907116e-01,6.301894117134506645e-01,7.985682735511385744e-01
5.959303455446606002e+00,5.483028271561892764e-01,6.312341408726651615e-01,7.500000000000000000e-01
6.000976906183995041e+00,5.494924437380834803e-01,6.322001990172536612e-01,7.676490747087058031e-01
6.042650356921383192e+00,5.504196367930341838e-01,6.330901463723916933e-01,8.242422511613747282e-01
6.084323807658772232e+00,5.510881465198598228e-01,6.339097119173160433e-01,7.500000000000000000e-01
6.125997258396161271e+00,5.514667426775917702e-01,6.346536203745584137e-01,7.500000000000000000e-01
6.167670709133550311e+00,5.516003624293078778e-01,6.353384255536362879e-01,7.500000000000000000e-01
6.209344159870939350e+00,5.515031319662830889e-01,6.359693647870936495e-01,7.500000000000000000e-01
